"customer_id","recency","frequency","monetary","rfm_score","r_score","f_score","m_score","total_score","rfm_segmenting"
"22","99","12","309","133",1,3,3,7,"Lost"
"7212","99","5","65","122",1,2,2,5,"Lost"
"5263","99","4","55","111",1,1,1,3,"Lost"
"868","99","5","65","122",1,2,2,5,"Lost"
"528","99","19","1383","145",1,4,5,10,"Lost"
"10142","99","18","689","144",1,4,4,9,"Lost"
"2415","99","13","953","134",1,3,4,8,"Lost"
"8595","99","5","67","112",1,1,2,4,"Lost"
"7829","99","5","65","112",1,1,2,4,"Lost"
"7232","99","5","67","122",1,2,2,5,"Lost"
"7947","99","4","37","111",1,1,1,3,"Lost"
"2831","99","24","1179","155",1,5,5,11,"Established Spender"
"9977","99","17","734","144",1,4,4,9,"Lost"
"1743","99","10","801","134",1,3,4,8,"Lost"
"4070","99","17","1078","144",1,4,4,9,"Lost"
"2106","99","4","34","111",1,1,1,3,"Lost"
"3363","99","4","34","111",1,1,1,3,"Lost"
"3979","98","16","1779","145",1,4,5,10,"Lost"
"4974","98","19","1392","145",1,4,5,10,"Lost"
"6722","98","20","767","154",1,5,4,10,"Lost"
"5871","98","13","467","133",1,3,3,7,"Lost"
"966","98","19","691","144",1,4,4,9,"Lost"
"9706","98","6","94","122",1,2,2,5,"Lost"
"2202","98","5","69","112",1,1,2,4,"Lost"
"10001","98","6","100","122",1,2,2,5,"Lost"
"313","98","21","2088","155",1,5,5,11,"Established Spender"
"5602","98","27","1282","155",1,5,5,11,"Established Spender"
"2320","98","18","635","143",1,4,3,8,"Lost"
"8475","98","22","1608","155",1,5,5,11,"Established Spender"
"213","98","6","48","121",1,2,1,4,"Lost"
"5687","98","26","1633","155",1,5,5,11,"Established Spender"
"9645","98","23","1338","155",1,5,5,11,"Established Spender"
"8541","98","6","41","121",1,2,1,4,"Lost"
"9757","98","23","1631","155",1,5,5,11,"Established Spender"
"2088","98","23","1631","155",1,5,5,11,"Established Spender"
"7230","98","16","493","143",1,4,3,8,"Lost"
"5675","98","16","493","143",1,4,3,8,"Lost"
"8070","98","11","264","133",1,3,3,7,"Lost"
"3846","98","11","270","133",1,3,3,7,"Lost"
"5153","97","32","1529","155",1,5,5,11,"Established Spender"
"9940","97","14","1009","134",1,3,4,8,"Lost"
"7181","97","5","52","111",1,1,1,3,"Lost"
"1663","97","4","49","111",1,1,1,3,"Lost"
"6568","97","5","79","122",1,2,2,5,"Lost"
"5046","97","23","1638","155",1,5,5,11,"Established Spender"
"9499","97","14","1616","135",1,3,5,9,"Big Spender"
"9771","97","11","269","133",1,3,3,7,"Lost"
"7527","97","6","76","122",1,2,2,5,"Lost"
"48","97","8","184","122",1,2,2,5,"Lost"
"3032","97","8","193","122",1,2,2,5,"Lost"
"8439","97","13","902","134",1,3,4,8,"Lost"
"8602","97","24","1049","154",1,5,4,10,"Lost"
"7613","97","12","326","133",1,3,3,7,"Lost"
"3231","97","4","30","111",1,1,1,3,"Lost"
"9925","97","9","216","133",1,3,3,7,"Lost"
"5441","97","13","388","133",1,3,3,7,"Lost"
"4127","97","32","1529","155",1,5,5,11,"Established Spender"
"3406","97","12","322","133",1,3,3,7,"Lost"
"6382","97","4","54","111",1,1,1,3,"Lost"
"1966","96","25","1672","155",1,5,5,11,"Established Spender"
"3336","96","11","948","134",1,3,4,8,"Lost"
"9826","96","21","2114","155",1,5,5,11,"Established Spender"
"2939","96","14","1631","135",1,3,5,9,"Big Spender"
"7987","96","15","460","143",1,4,3,8,"Lost"
"10492","96","3","10","111",1,1,1,3,"Lost"
"3921","96","9","205","133",1,3,3,7,"Lost"
"24","96","7","47","121",1,2,1,4,"Lost"
"456","96","5","36","111",1,1,1,3,"Lost"
"8952","96","21","859","154",1,5,4,10,"Lost"
"5948","96","10","237","133",1,3,3,7,"Lost"
"10500","96","7","98","122",1,2,2,5,"Lost"
"10262","96","7","53","121",1,2,1,4,"Lost"
"7789","96","25","1672","155",1,5,5,11,"Established Spender"
"1295","96","18","725","144",1,4,4,9,"Lost"
"5644","96","13","363","133",1,3,3,7,"Lost"
"3266","96","6","125","122",1,2,2,5,"Lost"
"574","96","6","125","122",1,2,2,5,"Lost"
"5748","96","13","475","133",1,3,3,7,"Lost"
"7244","96","7","124","122",1,2,2,5,"Lost"
"3270","96","7","128","122",1,2,2,5,"Lost"
"1135","96","7","47","121",1,2,1,4,"Lost"
"5830","96","21","2114","155",1,5,5,11,"Established Spender"
"6663","96","8","157","122",1,2,2,5,"Lost"
"8310","96","21","1459","155",1,5,5,11,"Established Spender"
"2254","95","20","1455","145",1,4,5,10,"Lost"
"10172","95","20","1538","145",1,4,5,10,"Lost"
"3117","95","12","450","133",1,3,3,7,"Lost"
"1545","95","14","443","133",1,3,3,7,"Lost"
"2532","95","12","1651","135",1,3,5,9,"Big Spender"
"999","95","24","730","154",1,5,4,10,"Lost"
"9523","95","3","15","111",1,1,1,3,"Lost"
"1890","95","3","25","111",1,1,1,3,"Lost"
"2931","95","22","1192","155",1,5,5,11,"Established Spender"
"4789","95","17","1677","145",1,4,5,10,"Lost"
"2579","95","22","835","154",1,5,4,10,"Lost"
"5863","95","17","655","144",1,4,4,9,"Lost"
"5623","95","4","51","111",1,1,1,3,"Lost"
"5589","95","21","793","154",1,5,4,10,"Lost"
"6729","95","20","1538","155",1,5,5,11,"Established Spender"
"5847","95","20","882","154",1,5,4,10,"Lost"
"5268","95","5","56","122",1,2,2,5,"Lost"
"3130","95","6","44","121",1,2,1,4,"Lost"
"2661","95","6","44","121",1,2,1,4,"Lost"
"2292","94","4","24","111",1,1,1,3,"Lost"
"3310","94","9","211","133",1,3,3,7,"Lost"
"4179","94","5","55","121",1,2,1,4,"Lost"
"6055","94","18","1305","145",1,4,5,10,"Lost"
"10402","94","4","39","111",1,1,1,3,"Lost"
"5896","94","14","397","133",1,3,3,7,"Lost"
"8953","94","4","35","111",1,1,1,3,"Lost"
"3520","94","14","1092","134",1,3,4,8,"Lost"
"10258","94","4","35","111",1,1,1,3,"Lost"
"6534","94","5","67","122",1,2,2,5,"Lost"
"9553","94","3","15","111",1,1,1,3,"Lost"
"5015","94","7","162","122",1,2,2,5,"Lost"
"3515","94","8","160","122",1,2,2,5,"Lost"
"1010","94","5","78","122",1,2,2,5,"Lost"
"9239","94","7","126","122",1,2,2,5,"Lost"
"5324","94","14","422","133",1,3,3,7,"Lost"
"3829","94","4","29","111",1,1,1,3,"Lost"
"3469","94","6","103","122",1,2,2,5,"Lost"
"5885","94","9","211","133",1,3,3,7,"Lost"
"11114","94","6","84","122",1,2,2,5,"Lost"
"8373","94","4","29","111",1,1,1,3,"Lost"
"2134","94","18","694","144",1,4,4,9,"Lost"
"11074","94","17","1423","145",1,4,5,10,"Lost"
"8560","94","17","680","144",1,4,4,9,"Lost"
"4786","94","25","1109","154",1,5,4,10,"Lost"
"4501","94","19","1478","145",1,4,5,10,"Lost"
"1604","93","10","225","133",1,3,3,7,"Lost"
"8970","93","15","530","133",1,3,3,7,"Lost"
"5831","93","15","1815","135",1,3,5,9,"Big Spender"
"6262","93","21","1573","155",1,5,5,11,"Established Spender"
"8204","93","17","1319","145",1,4,5,10,"Lost"
"7476","93","19","1269","145",1,4,5,10,"Lost"
"1755","93","6","114","122",1,2,2,5,"Lost"
"175","93","20","1443","145",1,4,5,10,"Lost"
"10925","93","24","1003","154",1,5,4,10,"Lost"
"322","93","5","41","121",1,2,1,4,"Lost"
"9286","93","18","747","144",1,4,4,9,"Lost"
